DNE,function_all
260.930187458835,derived
190.147776763082,derived
227.22946282318,derived
202.527854823481,derived
195.52040963513,derived
150.948544292183,derived
272.030316575918,derived
233.866253124582,derived
136.018384201524,derived
146.073442233282,derived
110.159732001106,derived
251.477482367153,derived
276.417558019728,derived
249.978816119135,derived
375.214308533702,derived
457.370573285122,derived
423.639836213843,derived
497.282314618589,basal
302.632865329826,basal
323.454783285176,basal
260.747851318823,basal
266.265951712173,basal
368.809025123414,basal
303.176057674719,basal
384.286421085084,basal
191.609739082005,derived
429.739842962762,basal
310.387867922921,derived
216.671342119815,derived
664.566049715874,derived
208.552742213859,derived
242.318819261646,derived
243.7478038702,derived
142.169666933151,derived
359.092881310559,basal
257.42051196077,derived
316.975027705659,derived
372.947596485425,derived
391.654756457983,basal
405.57375718269,basal
398.902951637192,basal
448.591292157599,basal
320.780963411078,basal
251.9782,derived
197.160448532043,derived
247.108803228536,derived
230.328835719689,derived
283.146473813229,basal
282.399975832566,basal
265.920000174434,basal
180.96198930876,basal
221.469814751424,basal
209.992913578612,basal
278.19974029263,basal
323.004541243444,basal
322.275560965425,basal
304.868233307043,basal
276.408970469742,basal
296.604766962387,basal
338.534909447884,basal
321.477167490059,basal
350.403415971944,basal
351.004181855432,basal
301.688684088618,basal
310.388970836695,derived
443.459488908425,derived
393.62131371139,derived
345.803765513362,derived
419.329190839915,derived
389.303741317209,derived
229.014202474414,derived
291.520821278356,derived
270.309620357678,derived
150.629348683997,derived
185.609334583467,derived
198.368958718272,derived
165.604945165912,derived
211.661059875184,derived
223.093913793796,derived
210.916317343039,derived
291.717600281896,derived
325.863351230856,derived
181.700353582687,derived
255.780094130125,derived
278.905571815548,derived
160.055735190453,derived
275.324032308428,derived
304.049370686712,derived
144.893392976325,derived
196.123162520303,derived
240.188747805036,derived
303.247322501625,derived
275.073819237044,derived
319.728653803929,derived
169.238008348011,derived
235.309184968513,derived
308.429296409122,derived
161.175502719334,derived
284.730667565089,derived
410.797924104693,derived
126.74863958396,derived
164.033715056749,derived
149.752859331825,derived
263.795314882031,basal
243.445014840695,basal
274.309928393132,basal
