DNE,function_all
497.282314618589,basal
302.632865329826,basal
323.454783285176,basal
260.747851318823,basal
266.265951712173,basal
368.809025123414,basal
303.176057674719,basal
384.286421085084,basal
429.739842962762,basal
359.092881310559,basal
391.654756457983,basal
405.57375718269,basal
398.902951637192,basal
448.591292157599,basal
320.780963411078,basal
263.795314882031,basal
274.309928393132,basal
260.930187458835,derived
190.147776763082,derived
227.22946282318,derived
202.527854823481,derived
195.52040963513,derived
150.948544292183,derived
272.030316575918,derived
233.866253124582,derived
136.018384201524,derived
146.073442233282,derived
110.159732001106,derived
251.477482367153,derived
276.417558019728,derived
249.978816119135,derived
375.214308533702,derived
457.370573285122,derived
423.639836213843,derived
191.609739082005,derived
310.387867922921,derived
216.671342119815,derived
664.566049715874,derived
208.552742213859,derived
242.318819261646,derived
243.7478038702,derived
142.169666933151,derived
257.42051196077,derived
316.975027705659,derived
372.947596485425,derived
251.978177252785,derived
265.920000174434,basal
209.992913578612,basal
322.275560965425,basal
276.408970469742,basal
321.477167490059,basal
301.688684088618,basal
230.328835719689,derived
393.62131371139,derived
389.303741317209,derived
270.309620357678,derived
198.368958718272,derived
223.093913793796,derived
325.863351230856,derived
278.905571815548,derived
304.049370686712,derived
240.188747805036,derived
319.728653803929,derived
308.429296409122,derived
410.797924104693,derived
149.752859331825,derived
