ariaDNE,function_all
0.06404,02_carnivora_derived
0.06153,02_carnivora_derived
0.063253,02_carnivora_derived
0.067936,02_carnivora_derived
0.06157,02_carnivora_derived
0.059634,02_carnivora_derived
0.05846,02_carnivora_derived
0.060768,02_carnivora_derived
0.059455,02_carnivora_derived
0.058795,02_carnivora_derived
0.071213,02_carnivora_derived
0.068765,02_carnivora_derived
0.067375,02_carnivora_derived
0.052995,02_carnivora_derived
0.054928,02_carnivora_derived
0.051691,02_carnivora_derived
0.074149,02_carnivora_derived
0.071632,02_carnivora_derived
0.072429,02_carnivora_derived
0.068988,02_carnivora_derived
0.069206,02_carnivora_derived
0.062221,02_carnivora_derived
0.060376,02_carnivora_derived
0.062066,02_carnivora_derived
0.063914,02_carnivora_derived
0.062483,02_carnivora_derived
0.070765,02_carnivora_derived
0.085579,01_carnivora_basal
0.084943,01_carnivora_basal
0.082421,01_carnivora_basal
0.099698,01_carnivora_basal
0.081161,01_carnivora_basal
0.088879,01_carnivora_basal
0.077391,01_carnivora_basal
0.077023,01_carnivora_basal
0.071043,01_carnivora_basal
0.083013,01_carnivora_basal
0.078232,01_carnivora_basal
0.085349,01_carnivora_basal
0.087037,03_dasy_basal
0.084105,03_dasy_basal
0.083642,03_dasy_basal
0.08362,03_dasy_basal
0.084032,03_dasy_basal
0.07755,03_dasy_basal
0.060914,04_dasy_derived
0.062349,04_dasy_derived
0.065797,04_dasy_derived
0.06522,04_dasy_derived
0.065702,04_dasy_derived
0.059139,04_dasy_derived
0.065381,06_hy_derived
0.057846,06_hy_derived
0.056956,06_hy_derived
0.067467,06_hy_derived
0.056735,06_hy_derived
0.059722,06_hy_derived
0.057200,06_hy_derived
0.055363,06_hy_derived
0.075616,02_carnivora_derived
0.076129,02_carnivora_derived
0.097578,01_carnivora_basal
0.103718,01_carnivora_basal
0.094591,01_carnivora_basal
0.102887,01_carnivora_basal
0.099159,01_carnivora_basal
