basal,derived
0.085579,0.06404
0.084943,0.06153
0.082421,0.063253
0.099698,0.067936
0.081161,0.06157
0.088879,0.059634
0.077391,0.05846
0.077023,0.060768
0.071043,0.059455
0.083013,0.058795
0.078232,0.071213
0.085349,0.068765
0.093813,0.067375
0.082355,0.052995
0.08901,0.054928
0.094319,0.051691
0.081319,0.074149
0.077598,0.071632
0.094359,0.072429
0.089644,0.068988
0.09555,0.069206
0.0973,0.062221
0.092643,0.060376
0.086878,0.062066
0.087037,0.063914
0.084105,0.062483
0.083642,0.070765
0.08362,0.061253
0.084032,0.063676
0.07755,0.06736
0.097578,0.052595
0.103718,0.068243
0.094591,0.068881
0.102887,0.070719
0.099159,0.061648
,0.060914
,0.062349
,0.065797
,0.06522
,0.070363
,0.07455
,0.081187
,0.079057
,0.065702
,0.059139
,0.063484
,0.05103
,0.051919
,0.06595
,0.056237
,0.056750
,0.049533
,0.055132
,0.068879
,0.058122
,0.064574
,0.068424
,0.06388
,0.062086
,0.059040
,0.056124
,0.065381
,0.057846
,0.056956
,0.067467
,0.056735
,0.059722
,0.057200
,0.055363
,0.075616
,0.076129
